dive,t1,t2,start,stop,duration_m
1,210244,210422,2018-09-05 21:02:44,2018-09-05 21:04:22,1.63
1,210436,210558,2018-09-05 21:04:36,2018-09-05 21:05:58,1.37
1,210612,210703,2018-09-05 21:06:12,2018-09-05 21:07:03,0.85
1,210722,211049,2018-09-05 21:07:22,2018-09-05 21:10:49,3.45
2,211324,211415,2018-09-05 21:13:24,2018-09-05 21:14:15,0.85
2,211434,211517,2018-09-05 21:14:34,2018-09-05 21:15:17,0.72
2,211533,211644,2018-09-05 21:15:33,2018-09-05 21:16:44,1.18
2,211700,211825,2018-09-05 21:17:00,2018-09-05 21:18:25,1.42
2,211850,211929,2018-09-05 21:18:50,2018-09-05 21:19:29,0.65
2,211948,212033,2018-09-05 21:19:48,2018-09-05 21:20:33,0.75
2,212052,212157,2018-09-05 21:20:52,2018-09-05 21:21:57,1.08
2,212216,212323,2018-09-05 21:22:16,2018-09-05 21:23:23,1.12
3,212222,212711,2018-09-05 21:22:22,2018-09-05 21:27:11,4.82
3,212726,212843,2018-09-05 21:27:26,2018-09-05 21:28:43,1.28
3,212907,213040,2018-09-05 21:29:07,2018-09-05 21:30:40,1.55
3,213059,213315,2018-09-05 21:30:59,2018-09-05 21:33:15,2.27
3,213331,213350,2018-09-05 21:33:31,2018-09-05 21:33:50,0.32
4,213635,213824,2018-09-05 21:36:35,2018-09-05 21:38:24,1.82
4,213852,213952,2018-09-05 21:38:52,2018-09-05 21:39:52,1.00
4,214008,214126,2018-09-05 21:40:08,2018-09-05 21:41:26,1.30
4,214148,214520,2018-09-05 21:41:48,2018-09-05 21:45:20,3.53
5,214751,214857,2018-09-05 21:47:51,2018-09-05 21:48:57,1.10
5,214917,215023,2018-09-05 21:49:17,2018-09-05 21:50:23,1.10
5,215044,215144,2018-09-05 21:50:44,2018-09-05 21:51:44,1.00
5,215201,215353,2018-09-05 21:52:01,2018-09-05 21:53:53,1.87
5,215413,215655,2018-09-05 21:54:13,2018-09-05 21:56:55,2.70
5,215707,215841,2018-09-05 21:57:07,2018-09-05 21:58:41,1.57
6,220147,220324,2018-09-05 22:01:47,2018-09-05 22:03:24,1.62
6,220358,220556,2018-09-05 22:03:58,2018-09-05 22:05:56,1.97
6,220618,220716,2018-09-05 22:06:18,2018-09-05 22:07:16,0.97
6,220727,220828,2018-09-05 22:07:27,2018-09-05 22:08:28,1.02
6,220828,220949,2018-09-05 22:08:28,2018-09-05 22:09:49,1.35
7,221335,221529,2018-09-05 22:13:35,2018-09-05 22:15:29,1.90
7,221549,221658,2018-09-05 22:15:49,2018-09-05 22:16:58,1.15
7,221723,221859,2018-09-05 22:17:23,2018-09-05 22:18:59,1.60
7,221915,221951,2018-09-05 22:19:15,2018-09-05 22:19:51,0.60
7,222006,222226,2018-09-05 22:20:06,2018-09-05 22:22:26,2.33
8,222512,222718,2018-09-05 22:25:12,2018-09-05 22:27:18,2.10
8,222735,222853,2018-09-05 22:27:35,2018-09-05 22:28:53,1.30
8,222908,223009,2018-09-05 22:29:08,2018-09-05 22:30:09,1.02
8,223023,223243,2018-09-05 22:30:23,2018-09-05 22:32:43,2.33
8,223258,223405,2018-09-05 22:32:58,2018-09-05 22:34:05,1.12
9,223651,223835,2018-09-05 22:36:51,2018-09-05 22:38:35,1.73
9,223858,224015,2018-09-05 22:38:58,2018-09-05 22:40:15,1.28
9,224029,224129,2018-09-05 22:40:29,2018-09-05 22:41:29,1.00
9,224148,224243,2018-09-05 22:41:48,2018-09-05 22:42:43,0.92
9,224321,224555,2018-09-05 22:43:21,2018-09-05 22:45:55,2.57
10,224851,225016,2018-09-05 22:48:51,2018-09-05 22:50:16,1.42
10,225032,225149,2018-09-05 22:50:32,2018-09-05 22:51:49,1.28
10,225236,225405,2018-09-05 22:52:36,2018-09-05 22:54:05,1.48
10,225425,225759,2018-09-05 22:54:25,2018-09-05 22:57:59,3.57
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,